state,month,aqi_value
Delhi,11,355.9555555555556
Delhi,1,323.94565217391306
Delhi,12,320.36559139784947
Delhi,2,223.10588235294117
Delhi,10,221.0
Delhi,4,206.84166666666667
Delhi,5,201.89247311827958
Delhi,3,171.72043010752688
Delhi,6,166.2888888888889
Delhi,9,105.9
Delhi,8,93.82795698924731
Delhi,7,89.02150537634408
Gujarat,2,141.25882352941176
Gujarat,11,139.92222222222222
Gujarat,3,135.72043010752688
Gujarat,5,133.38709677419354
Gujarat,1,130.0326086956522
Gujarat,10,128.33333333333334
Gujarat,12,124.23076923076923
Gujarat,4,121.0
Gujarat,6,91.35555555555555
Gujarat,7,75.3695652173913
Gujarat,9,72.71111111111111
Gujarat,8,68.41304347826087
Karnataka,1,94.71739130434783
Karnataka,3,91.7741935483871
Karnataka,2,91.51764705882353
Karnataka,11,84.46666666666667
Karnataka,4,82.94166666666666
Karnataka,12,81.94623655913979
Karnataka,10,79.17204301075269
Karnataka,5,67.02150537634408
Karnataka,8,59.58064516129032
Karnataka,9,55.0
Karnataka,7,54.73118279569893
Karnataka,6,54.05555555555556
Maharashtra,12,158.1139240506329
Maharashtra,11,151.93630573248407
Maharashtra,1,146.73939393939395
Maharashtra,2,141.54117647058823
Maharashtra,3,121.93548387096774
Maharashtra,10,109.82608695652173
Maharashtra,4,106.43333333333334
Maharashtra,5,105.91935483870968
Maharashtra,6,74.28333333333333
Maharashtra,7,66.14857142857143
Maharashtra,9,62.60130718954248
Maharashtra,8,61.58064516129032
Tamil Nadu,1,103.44565217391305
Tamil Nadu,2,87.87058823529412
Tamil Nadu,11,83.32222222222222
Tamil Nadu,12,82.34065934065934
Tamil Nadu,10,78.88172043010752
Tamil Nadu,5,69.88172043010752
Tamil Nadu,3,69.82795698924731
Tamil Nadu,7,67.53763440860214
Tamil Nadu,6,67.44444444444444
Tamil Nadu,8,65.33333333333333
Tamil Nadu,9,61.855555555555554
Tamil Nadu,4,56.75
Telangana,11,101.74444444444444
Telangana,1,96.8586956521739
Telangana,12,93.75268817204301
Telangana,2,93.15294117647059
Telangana,4,89.09166666666667
Telangana,3,87.89247311827957
Telangana,5,85.64516129032258
Telangana,10,78.97849462365592
Telangana,6,68.52222222222223
Telangana,8,61.56989247311828
Telangana,9,60.37777777777778
Telangana,7,53.03225806451613
West Bengal,1,208.1413043478261
West Bengal,12,196.23655913978496
West Bengal,11,170.74444444444444
West Bengal,2,129.72941176470587
West Bengal,3,94.20430107526882
West Bengal,10,84.59139784946237
West Bengal,4,81.79166666666667
West Bengal,5,65.49462365591398
West Bengal,6,56.922222222222224
West Bengal,8,54.774193548387096
West Bengal,9,50.17777777777778
West Bengal,7,40.02150537634409
