state,prominent_pollutants,count
Andhra Pradesh,PM10,3182
Andhra Pradesh,PM2.5,1757
Andhra Pradesh,"PM10,NO2,O3",1
Andhra Pradesh,"PM10,NO2,PM2.5,O3",1
Karnataka,PM10,13404
Karnataka,CO,2913
Karnataka,"NO2,O3",1
Karnataka,"NO2,SO2,CO",1
Kerala,PM10,3167
Kerala,PM2.5,1123
Kerala,"CO,O3",6
Kerala,SO2,7
Puducherry,PM10,413
Puducherry,O3,303
Puducherry,CO,148
Puducherry,PM2.5,206
Tamil Nadu,PM10,6253
Tamil Nadu,PM2.5,2268
Tamil Nadu,"PM10,NH3,CO",1
Tamil Nadu,"PM10,NO2,PM2.5,O3",1
Telangana,"PM2.5,PM10",343
Telangana,PM10,315
Telangana,"CO,O3",1
Telangana,NO2,1
