year,week,outbreak_starting_date,reporting_date,state,district,disease_illness_name,status,cases,deaths,unit,note
2025,16,19-04-2025,19-04-2025,Bihar,Gopalganj,Fever with Rash,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,16,19-04-2025,19-04-2025,Jharkhand,Lohardaga,Fever with Rash,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,14,03-04-2025,04-04-2025,Bihar,Aurangabad,Fever with Rash,Reported,21,0,"cases in absolute number, deaths in absolute number",
2025,14,30-01-2025,,Bihar,Purbi Champaran,Fever with Rash,Reported Late,6,0,"cases in absolute number, deaths in absolute number",
2025,13,26-03-2025,26-03-2025,Jharkhand,Bokaro,Fever with Rash,Reported,6,0,"cases in absolute number, deaths in absolute number",
2025,13,27-02-2025,27-03-2025,Kerala,Kozhikode,West Nile Fever,Reported,2,1,"cases in absolute number, deaths in absolute number",
2025,12,20-03-2025,21-03-2025,Bihar,Begusarai,Fever with Rash,Reported,32,0,"cases in absolute number, deaths in absolute number",
2025,12,21-03-2025,21-03-2025,Bihar,Begusarai,Fever with Rash,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,11,11-03-2025,11-03-2025,Assam,Barpeta,Fever,Reported,29,0,"cases in absolute number, deaths in absolute number",
2025,11,13-03-2025,13-03-2025,Assam,Hailakandi,Fever with Rash,Reported,15,0,"cases in absolute number, deaths in absolute number",
2025,11,10-03-2025,10-03-2025,Gujarat,Sabarkantha,Fever with Rash,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,11,09-03-2025,10-03-2025,Jharkhand,Dumka,Fever with Rash,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,11,10-03-2025,10-03-2025,Maharashtra,Bhandara,Fever with Rash,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,11,06-03-2025,,Bihar,Munger,Fever with Rash,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,10,05-02-2025,06-03-2025,Bihar,Samastipur,Fever with Rash,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,10,08-03-2025,09-03-2025,Bihar,Vaishali,Fever with Rash,Reported,8,0,"cases in absolute number, deaths in absolute number",
2025,10,08-03-2025,08-03-2025,Jharkhand,West Singhbhum,Fever with Rash,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,9,27-02-2025,27-02-2025,Assam,Jorhat,Fever,Reported in Same Week,20,0,"cases in absolute number, deaths in absolute number",
2025,9,27-02-2025,28-02-2025,Assam,Udalguri,Fever,Reported in Same Week,35,0,"cases in absolute number, deaths in absolute number",
2025,9,25-02-2025,25-02-2025,Assam,Jorhat,Fever,Reported in Same Week,26,0,"cases in absolute number, deaths in absolute number",
2025,9,25-02-2025,27-02-2025,Bihar,Begusarai,Fever with Rash,Reported in Same Week,27,0,"cases in absolute number, deaths in absolute number",
2025,9,24-02-2025,25-02-2025,Bihar,Begusarai,Fever with Rash,Reported in Same Week,13,0,"cases in absolute number, deaths in absolute number",
2025,8,18-02-2025,20-02-2025,Bihar,Begusarai,Fever with Rash,Reported in Same Week,14,0,"cases in absolute number, deaths in absolute number",
2025,8,18-02-2025,18-02-2025,Bihar,Begusarai,Fever with Rash,Reported in Same Week,12,0,"cases in absolute number, deaths in absolute number",
2025,8,18-02-2025,18-02-2025,Bihar,Madhepura,Fever with Rash,Reported in Same Week,14,0,"cases in absolute number, deaths in absolute number",
2025,8,17-02-2025,21-02-2025,Bihar,Pashchim Champaran,Fever with Rash,Reported in Same Week,10,0,"cases in absolute number, deaths in absolute number",
2025,8,13-02-2025,21-02-2025,Kerala,Alappuzha West,Nile Fever,Reported in Same Week,2,0,"cases in absolute number, deaths in absolute number",
2025,7,08-02-2025,15-02-2025,Bihar,Saran,Fever with Rash,Reported in Same Week,7,0,"cases in absolute number, deaths in absolute number",
